X,Y,Z,RX,RY,RZ
-265.133,426.314,635.483,179.98,-0.13,57.209
-272.676,421.001,638.841,179.982,-0.121,58.472
-272.676,421.001,638.841,179.982,-0.121,58.472
-279.975,415.628,642.197,179.986,-0.112,59.775
-279.975,415.628,642.197,179.986,-0.112,59.775
-284.772,411.959,644.331,179.983,-0.103,60.675
-284.772,411.959,644.331,179.983,-0.103,60.675
-284.772,411.959,644.331,179.983,-0.103,60.675
-291.957,406.32,647.485,179.988,-0.097,62.064
-291.957,406.32,647.485,179.988,-0.097,62.064
-296.631,402.509,649.53,179.988,-0.09,63.017
-296.631,402.509,649.53,179.988,-0.09,63.017
-296.631,402.509,649.53,179.988,-0.09,63.017
-303.575,396.665,652.537,179.989,-0.081,64.497
-303.575,396.665,652.537,179.989,-0.081,64.497
-308.008,392.807,654.438,179.989,-0.074,65.487
-308.008,392.807,654.438,179.989,-0.074,65.487
-314.629,386.857,657.182,179.985,-0.061,67.037
-314.629,386.857,657.182,179.985,-0.061,67.037
-314.629,386.857,657.182,179.985,-0.061,67.037
-318.932,382.884,658.959,179.985,-0.055,68.089
-318.932,382.884,658.959,179.985,-0.055,68.089
-325.24,376.872,661.536,179.984,-0.045,69.707
-325.24,376.872,661.536,179.984,-0.045,69.707
-325.24,376.872,661.536,179.984,-0.045,69.707
-331.157,371.029,663.98,179.987,-0.039,71.318
-331.157,371.029,663.98,179.987,-0.039,71.318
-335.086,367.043,665.539,179.988,-0.034,72.434
-335.086,367.043,665.539,179.988,-0.034,72.434
-335.086,367.043,665.539,179.988,-0.034,72.434
-335.086,367.043,665.539,179.988,-0.034,72.434
-342.744,359.021,668.423,179.987,-0.024,74.718
-342.744,359.021,668.423,179.987,-0.024,74.718
-346.361,355.089,669.818,179.988,-0.02,75.893
-346.361,355.089,669.818,179.988,-0.02,75.893
-351.515,349.374,671.695,179.991,-0.016,77.619
-351.515,349.374,671.695,179.991,-0.016,77.619
-351.515,349.374,671.695,179.991,-0.016,77.619
-356.605,343.572,673.439,179.993,-0.012,79.423
-356.605,343.572,673.439,179.993,-0.012,79.423
-356.605,343.572,673.439,179.993,-0.012,79.423
-359.793,339.833,674.479,179.991,-0.008,80.624
-359.793,339.833,674.479,179.991,-0.008,80.624
-364.466,334.246,675.927,179.993,-0.004,82.466
-364.466,334.246,675.927,179.993,-0.004,82.466
-367.433,330.628,676.788,179.995,-0.002,83.693
-367.433,330.628,676.788,179.995,-0.002,83.693
-371.596,325.445,677.882,179.994,0.001,85.519
-371.596,325.445,677.882,179.994,0.001,85.519
-374.375,321.923,678.503,179.992,0.004,86.81
-374.375,321.923,678.503,179.992,0.004,86.81
-374.375,321.923,678.503,179.992,0.004,86.81
-378.146,317.069,679.271,179.994,0.005,88.672
-378.146,317.069,679.271,179.994,0.005,88.672
-380.546,313.935,679.668,179.994,0.006,89.928
-380.546,313.935,679.668,179.994,0.006,89.928
-384.058,309.284,680.123,179.993,0.007,91.864
-384.058,309.284,680.123,179.993,0.007,91.864
-384.058,309.284,680.123,179.993,0.007,91.864
-387.429,304.738,680.418,179.99,0.01,93.835
-387.429,304.738,680.418,179.99,0.01,93.835
-387.429,304.738,680.418,179.99,0.01,93.835
-389.604,301.765,680.552,179.989,0.011,95.163
-389.604,301.765,680.552,179.989,0.011,95.163
-392.834,297.292,680.688,179.989,0.011,97.165
-392.834,297.292,680.688,179.989,0.011,97.165
-394.934,294.333,680.761,179.99,0.01,98.573
-394.934,294.333,680.761,179.99,0.01,98.573
-398.08,289.824,680.842,179.991,0.009,100.672
-398.08,289.824,680.842,179.991,0.009,100.672
-398.08,289.824,680.842,179.991,0.009,100.672
-400.205,286.715,680.891,179.992,0.008,102.113
-400.205,286.715,680.891,179.992,0.008,102.113
-403.497,281.787,680.967,179.993,0.008,104.378
-403.497,281.787,680.967,179.993,0.008,104.378
-406.833,276.65,681.056,179.993,0.008,106.72
-406.833,276.65,681.056,179.993,0.008,106.72
-406.833,276.65,681.056,179.993,0.008,106.72
-409.044,273.169,681.118,179.994,0.008,108.307
-409.044,273.169,681.118,179.994,0.008,108.307
-412.443,267.684,681.218,179.995,0.007,110.727
-412.443,267.684,681.218,179.995,0.007,110.727
